"ROW","COLUMN","elev.ground.m","long","lat","head.m","WTD.m"
"1","83",NA,443560.66707019,5446315.1689991,NA,NA
"1","84",NA,443668.001048288,5446315.1689991,NA,NA
"1","85",NA,443775.335026386,5446315.1689991,NA,NA
"1","86",NA,443882.669004484,5446315.1689991,NA,NA
"1","87",NA,443990.002982583,5446315.1689991,NA,NA
"1","88",NA,444097.336960681,5446315.1689991,NA,NA
"1","89",NA,444204.670938779,5446315.1689991,NA,NA
"1","90",NA,444312.004916877,5446315.1689991,NA,NA
"1","91",NA,444419.338894975,5446315.1689991,NA,NA
"1","92",NA,444526.672873073,5446315.1689991,NA,NA
"1","93",NA,444634.006851171,5446315.1689991,NA,NA
"1","94",NA,444741.340829269,5446315.1689991,NA,NA
"1","95",NA,444848.674807367,5446315.1689991,NA,NA
"1","96",NA,444956.008785466,5446315.1689991,NA,NA
"1","97",NA,445063.342763564,5446315.1689991,NA,NA
"1","98",NA,445170.676741662,5446315.1689991,NA,NA
"1","99",NA,445278.01071976,5446315.1689991,NA,NA
"1","100",NA,445385.344697858,5446315.1689991,NA,NA
"2","1",1.5697941259968,434759.280866144,5446211.57385168,89.9008178710938,-88.3310241699219
"2","2",14.832603335119,434866.614844242,5446211.57385168,89.9403457641602,-75.1077423095703
"2","3",NA,434973.948822341,5446211.57385168,NA,NA
"2","4",NA,435081.282800439,5446211.57385168,NA,NA
"2","5",NA,435188.616778537,5446211.57385168,NA,NA
"2","6",NA,435295.950756635,5446211.57385168,NA,NA
"2","7",NA,435403.284734733,5446211.57385168,NA,NA
"2","8",NA,435510.618712831,5446211.57385168,NA,NA
"2","9",NA,435617.952690929,5446211.57385168,NA,NA
"2","10",NA,435725.286669027,5446211.57385168,NA,NA
"2","11",NA,435832.620647126,5446211.57385168,NA,NA
"2","12",NA,435939.954625224,5446211.57385168,NA,NA
"2","13",NA,436047.288603322,5446211.57385168,NA,NA
"2","14",NA,436154.62258142,5446211.57385168,NA,NA
"2","15",NA,436261.956559518,5446211.57385168,NA,NA
"2","16",NA,436369.290537616,5446211.57385168,NA,NA
"2","17",NA,436476.624515714,5446211.57385168,NA,NA
"2","18",NA,436583.958493812,5446211.57385168,NA,NA
"2","19",NA,436691.29247191,5446211.57385168,NA,NA
"2","20",NA,436798.626450009,5446211.57385168,NA,NA
"2","21",NA,436905.960428107,5446211.57385168,NA,NA
"2","22",NA,437013.294406205,5446211.57385168,NA,NA
"2","23",NA,437120.628384303,5446211.57385168,NA,NA
"2","24",NA,437227.962362401,5446211.57385168,NA,NA
"2","25",NA,437335.296340499,5446211.57385168,NA,NA
"2","26",NA,437442.630318597,5446211.57385168,NA,NA
"2","27",NA,437549.964296695,5446211.57385168,NA,NA
"2","28",NA,437657.298274794,5446211.57385168,NA,NA
"2","29",NA,437764.632252892,5446211.57385168,NA,NA
"2","30",NA,437871.96623099,5446211.57385168,NA,NA
"2","31",NA,437979.300209088,5446211.57385168,NA,NA
"2","32",NA,438086.634187186,5446211.57385168,NA,NA
"2","33",NA,438193.968165284,5446211.57385168,NA,NA
"2","34",NA,438301.302143382,5446211.57385168,NA,NA
"2","35",NA,438408.63612148,5446211.57385168,NA,NA
"2","36",NA,438515.970099578,5446211.57385168,NA,NA
"2","37",NA,438623.304077677,5446211.57385168,NA,NA
"2","38",NA,438730.638055775,5446211.57385168,NA,NA
"2","39",NA,438837.972033873,5446211.57385168,NA,NA
"2","40",NA,438945.306011971,5446211.57385168,NA,NA
"2","41",NA,439052.639990069,5446211.57385168,NA,NA
"2","42",NA,439159.973968167,5446211.57385168,NA,NA
"2","43",NA,439267.307946265,5446211.57385168,NA,NA
"2","44",NA,439374.641924363,5446211.57385168,NA,NA
"2","45",NA,439481.975902462,5446211.57385168,NA,NA
"2","46",NA,439589.30988056,5446211.57385168,NA,NA
"2","47",NA,439696.643858658,5446211.57385168,NA,NA
"2","48",NA,439803.977836756,5446211.57385168,NA,NA
"2","49",NA,439911.311814854,5446211.57385168,NA,NA
"2","50",NA,440018.645792952,5446211.57385168,NA,NA
"2","51",NA,440125.97977105,5446211.57385168,NA,NA
"2","52",NA,440233.313749148,5446211.57385168,NA,NA
"2","53",NA,440340.647727247,5446211.57385168,NA,NA
"2","54",NA,440447.981705345,5446211.57385168,NA,NA
"2","55",NA,440555.315683443,5446211.57385168,NA,NA
"2","56",NA,440662.649661541,5446211.57385168,NA,NA
"2","57",NA,440769.983639639,5446211.57385168,NA,NA
"2","58",NA,440877.317617737,5446211.57385168,NA,NA
"2","59",NA,440984.651595835,5446211.57385168,NA,NA
"2","60",NA,441091.985573933,5446211.57385168,NA,NA
"2","61",NA,441199.319552031,5446211.57385168,NA,NA
"2","62",NA,441306.65353013,5446211.57385168,NA,NA
"2","63",NA,441413.987508228,5446211.57385168,NA,NA
"2","64",NA,441521.321486326,5446211.57385168,NA,NA
"2","65",NA,441628.655464424,5446211.57385168,NA,NA
"2","66",NA,441735.989442522,5446211.57385168,NA,NA
"2","67",NA,441843.32342062,5446211.57385168,NA,NA
"2","68",NA,441950.657398718,5446211.57385168,NA,NA
"2","69",NA,442057.991376816,5446211.57385168,NA,NA
"2","70",NA,442165.325354915,5446211.57385168,NA,NA
